a        | 啊  | Particle                       → Ahhh, Oh, Aha
pu       | 溥  | Broad                          → Yangpu, Xuyuanpu, Zhangpu
pu       | 莆  | Putian                         → [无建议, 可用首字母: AIJKMNOQTUXYZ]
qi       | 起  | Rise                           → Draft, Enclose, Zhaoqi
qi       | 气  | Air                            → Evil, Lacking, Lung
qi       | 其  | Its                            → Let, Dù, Lulongqi
qi       | 奇  | Odd                            → Lanqi, Daizhiqi, Ziqi
qi       | 期  | Period                         → Yougongliqi, Date, Long-term
qi       | 七  | Seven                          → Zhengqimie, Erqiqu, Erqi
qi       | 器  | Tool                           → Excretory, Yiliaoqixiechang, Electrical
qi       | 骑  | Ride                           → Knight, Light
qi       | 齐  | Neat                           → Xiongboqi, Yiqifenniehe, Level
qi       | 弃  | Abandon                        → Disdain, Dislike, Destroy
qi       | 妻  | Wife                           → Zhongyangyuhuangdadiqi, Lost, Virtuous
qi       | 企  | Hope                           → Key, Enterprise, Entrepreneur
qi       | 启  | Open                           → Yeqixun, Zhuqiqian, Xuguangqi
qi       | 旗  | Flag                           → Zhengbaiqi, Eergunayouqi, Dongwuzhumuqin
qi       | 欺  | Bully                          → Deceive, Deceptive, Deceive
qi       | 岂  | How                            → [无建议, 可用首字母: DEKLVXYZ]
qi       | 汽  | Steam                          → Ethanol, Long-distance, Long-Distance
qi       | 琪  | Jade                           → Duqifeng, Liangjingqi, Xinxiaoqi
qi       | 泣  | Weep                           → [无建议, 可用首字母: DEKLVXYZ]
qi       | 凄  | Sad                            → Desolate, Extremely
qi       | 漆  | Paint                          → Lacquer, Lacquer, Lacquerware
qi       | 戚  | Relative                       → Longquansiqijiguangshibei, Xiu
qi       | 契  | Agreement                      → Khitan, Deed, Land
qi       | 乞  | Beg                            → Xianbeiqishi, Zhouqi, Xiqi
qi       | 祈  | Pray                           → Yearning, Dongzongqi
qi       | 麒  | Unicorn                        → Zhanghuaqi, Liujiaqi
qi       | 歧  | Fork                           → Discriminate, Discriminatory, Disagreement
qi       | 琦  | Jade                           → Yangsiqi, Zhang, Liangqi
qi       | 祁  | Surname Qi                     → Dengqihou, Zhuqiyu, Yiqi
qi       | 绮  | Gorgeous                       → Luo, Zhouqi, Liqi
qi       | 栖  | Perch                          → Double-resident, Yanqihu, Yunqizhujing
qi       | 淇  | Qi River                       → Xuziqi, Liuwenqi, Zhouliqi
qi       | 崎  | Rugged                         → Xiaoqiai, Xiqichongzi, Daoqiyaoxiang
qi       | 砌  | Build                          → [无建议, 可用首字母: DEKLVXYZ]
qi       | 蹊  | Path                           → [无建议, 可用首字母: DEKLVXYZ]
qi       | 祺  | Auspicious                     → Liuanqi, Zhuqi, Duan
qi       | 迄  | Up                             → [无建议, 可用首字母: DEKLVXYZ]
qi       | 岐  | Fork                           → Zhoufengqi, Zhaoqi, Kuiqi
qi       | 脐  | Navel                          → [无建议, 可用首字母: DEKLVXYZ]
qi       | 颀  | Tall                           → Liqi
qi       | 憩  | Rest                           → [无建议, 可用首字母: DEKLVXYZ]
qi       | 嘁  | Sneer                          → [无建议, 可用首字母: DEKLVXYZ]
qi       | 祇  | God                            → Divine
qi       | 鳍  | Fin                            → Dorsal, Ventral
qi       | 葺  | Repair                         → [无建议, 可用首字母: DEKLVXYZ]
qi       | 蕲  | Qi (county)                    → Xiquizhou
qi       | 畦  | Field                          → Vegetable, Level
qi       | 萁  | Bean stalk                     → [无建议, 可用首字母: DEKLVXYZ]
qi       | 骐  | Steed                          → [无建议, 可用首字母: DEKLVXYZ]
qi       | 碛  | Gravel                         → [无建议, 可用首字母: DEKLVXYZ]
qi       | 稽  | Inspect                        → Kuaijiwang, Kuaijiwangsunliang, Kuaiji
qian     | 钱  | Coin                           → Greedy, Qianqi, Wusuwangqianmiu
qian     | 牵  | Pull                           → Weak
qian     | 倩  | Pretty                         → Yangqian, Yeqianwen, Wuqianlian
qian     | 浅  | Superficial                    → Qiancangwu, Qiantianzhenyang, Qianyewenzi
qian     | 签  | Sign                           → English, Visa, Electronic
qian     | 歉  | Regret                         → Express, Apology, Apologize
qian     | 谦  | Modest                         → Yaoqian, Gaoyouqian, Xuezhiqian
qian     | 迁  | Move                           → Qiānkè, Accommodate, Zeishenshiqian
qian     | 遣  | Send                           → Expedited, Amuse
qian     | 虔  | Pious                          → Zhengqian, Earnest, Zhanziqian
qian     | 铅  | Lead                           → Galena, Qianshan, Qianling
qian     | 谴  | Rebuke                         → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 钳  | Clamp                          → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 堑  | Moat                           → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 骞  | Lift                           → Zhang, Quehanqian, Zhangqian
qian     | 纤  | Slender                        → Waterman, Acetate, natural
qian     | 阡  | Path                           → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 钤  | Seal                           → Zhuqiqian
qian     | 掮  | Carry                          → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 扦  | Prick                          → Grafting
qian     | 愆  | Mistake                        → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qian     | 悭  | Stingy                         → [无建议, 可用首字母: AEGJKNQUVWXYZ]
qiang    | 抢  | Rob                            → Extract, Eye-catching, Looting
qiang    | 腔  | Cavity                         → Nasal, Local, Lower
qiang    | 呛  | Choke                          → [无建议, 可用首字母: ABEFIJLNOTUVXYZ]
qiang    | 跄  | Stagger                        → [无建议, 可用首字母: ABEFIJLNOTUVXYZ]
qiang    | 蔷  | Rose                           → Zhangqiang, Xiaoqiang
qiang    | 锵  | Clink                          → [无建议, 可用首字母: ABEFIJLNOTUVXYZ]
qiang    | 襁  | Swaddle                        → [无建议, 可用首字母: ABEFIJLNOTUVXYZ]
qiang    | 嫱  | Court lady                     → Beautiful
qiao     | 瞧  | See                            → Look
qiao     | 敲  | Beat                           → Knock, Knocking, Knock
qiao     | 桥  | Bridge                         → Xidiliuqiao, Noon, Lugou
qiao     | 乔  | Tall                           → Xiayuqiao, Joel, Jonathan
qiao     | 俏  | Pretty                         → Looking, Attractive
qiao     | 翘  | Tilt                           → Arch, Zhaoshuqiao
qiao     | 鞘  | Sheath                         → Drawn, Drawn
qiao     | 憔  | Weary                          → Emaciated
qiao     | 峭  | Steep                          → [无建议, 可用首字母: ADEFGIJKLMNUVXYZ]
qiao     | 跷  | Tilt                           → [无建议, 可用首字母: ADEFGIJKLMNUVXYZ]
qiao     | 樵  | Woodcutter                     → Guqiao, Xiqiaoshan, Forester
qiao     | 撬  | Prize                          → Lever, Manipulation
qiao     | 锹  | Spade                          → [无建议, 可用首字母: ADEFGIJKLMNUVXYZ]
qiao     | 壳  | Shell                          → Fangnaoke, Empty, Add
qiao     | 橇  | Sled                           → [无建议, 可用首字母: ADEFGIJKLMNUVXYZ]
qiao     | 荞  | Buckwheat                      → [无建议, 可用首字母: ADEFGIJKLMNUVXYZ]
qiao     | 雀  | Bird                           → Little, Golden, Nightingale
qie      | 且  | And                            → Moreover, Let, Idle
qie      | 切  | Cut                            → Heartrending, Masiqielanuo, Diagnose
qie      | 契  | Agreement                      → Miqier, Khitan, Opportunity
qie      | 窃  | Steal                          → Wiretapping, Petty
qie      | 妾  | Concubine                      → Wives
qie      | 惬  | Satisfied                      → [无建议, 可用首字母: BDEFGHIJKLMNOPQRUVWXYZ]
qie      | 锲  | Carve                          → Persistent
qie      | 挈  | Carry                          → Bring
qin      | 寝  | Sleep                          → Forget, Mausoleum
qin      | 沁  | Seep                           → Wuzhumuqin, Ke'erqin, Tianqinxin
qing     | 轻  | Light                          → Young, Young, Ultra-light
qing     | 清  | Pure                           → Wuqingyu, Islamic, Unable
qing     | 情  | Feeling                        → Social, Sincere, World
qing     | 晴  | Fine                           → Shitianqingxiang, Zhangqing, Yuqingyan
qing     | 倾  | Pour                           → Torrential, Inclination, Invest
qing     | 擎  | Lift                           → Yangqingtian, Search
qing     | 顷  | Moment                         → Zhouqingwangjirenchen, Vast, Zhouqingwang
qing     | 磬  | Chime                          → Yuqingzi
qing     | 氰  | Cyanide                        → [无建议, 可用首字母: BIKOQSTUVWXYZ]
qing     | 苘  | Mallow                         → [无建议, 可用首字母: BIKOQSTUVWXYZ]
qiong    | 茕  | Lonely                         → [无建议, 可用首字母: ABCDEFGHIKMNOQRSTUWXYZ]
qiong    | 芎  | Ligusticum                     → Angelica
qiu      | 秋  | Fall                           → Qiuyuanyoumei, Qiuwen, Poems
qiu      | 邱  | Surname Qiu                    → Qiujun, Qiujia, Qiushanfeng
qiu      | 裘  | Fur coat                       → Qiuqianchi, Qiu, Qiuqianren
qiu      | 泅  | Swim                           → [无建议, 可用首字母: GIKMNOPQRUWXYZ]
qiu      | 逑  | Spouse                         → Gentleman's
qiu      | 巯  | Sulfhydryl                     → [无建议, 可用首字母: GIKMNOPQRUWXYZ]
qu       | 去  | Go                             → People, Cannot, Jump
qu       | 取  | Get                            → Extraction, Collect, Access
qu       | 区  | Region                         → Exhibition, War, Core
qu       | 曲  | Bend                           → Famous, Waltz, Quzhou
qu       | 躯  | Body                           → [无建议, 可用首字母: ACEFHJKNOPQUVWXYZ]
qu       | 驱  | Drive                          → Eliminate, Hard, Quhuangshen
qu       | 娶  | Marry                          → Qimouqugong
qu       | 趋  | Tend                           → Approach, Phototropism, Approach
qu       | 渠  | Ditch                          → Yingquliang, Channel, Nanqu
qu       | 瞿  | Bamboo                         → Quzhongrong, Qujun, Quqijia
qu       | 岖  | Rough                          → [无建议, 可用首字母: ACEFHJKNOPQUVWXYZ]
qu       | 蛆  | Maggot                         → [无建议, 可用首字母: ACEFHJKNOPQUVWXYZ]
qu       | 衢  | Road                           → [无建议, 可用首字母: ACEFHJKNOPQUVWXYZ]
qu       | 祛  | Dispel                         → Wind, Cure
qu       | 龋  | Tooth decay                    → Cavities
quan     | 圈  | Circle                         → Living, Mark, Necklace
quan     | 劝  | Advise                         → Luquan, Opening
quan     | 泉  | Spring                         → Quanshuikeng, Quanling, Mapaoquan
quan     | 蜷  | Curl                           → Quanchuanshihua, Quanchuanxingxiong
quan     | 颧  | Cheekbone                      → [无建议, 可用首字母: GIJKLMNOQRUVXYZ]
quan     | 铨  | Select                         → Guquan, Gongbaoquan, Measurement
quan     | 醛  | Aldehyde                       → Urea-formaldehyde, Glyceraldehyde, Urea-formaldehyde
que      | 却  | But                            → Air, Forget, However
que      | 确  | True                           → Absolutely, Accuracy, Precise
que      | 雀  | Bird                           → Golden, Copper, Peacock
que      | 阙  | Tower                          → Fenghuanque, Palaces, Pingyangfujunque
ran      | 然  | So                             → Proudly, Natural, Natural
ran      | 燃  | Burn                           → Light, Tongzisirandengta, Fuel
ran      | 冉  | Slowly                         → Wangran, Ranping, Ranjinzu
ran      | 髯  | Beard                          → Goatee
rang     | 壤  | Soil                           → Rangtang, Pyongyang, Bordering
rang     | 攘  | Seize                          → Expel, Bustling, Bustling
ren      | 人  | Person                         → Human, Rough, Level
ren      | 任  | Appoint                        → Great, Let, Renzuyuan
ren      | 认  | Admit                          → Work, Recognize, Default
ren      | 韧  | Tough                          → Ligament, High, Flexibility
ren      | 荏  | Tender                         → Hypocritical
ren      | 妊  | Pregnant                       → [无建议, 可用首字母: DFGHIJLOQRVWXYZ]
rong     | 融  | Melt                           → Warm, International, Hedixiaobaorong
rong     | 溶  | Melt                           → Karst, Buffer, Insoluble
rong     | 戎  | Military                       → Wang, Wangrong, Qiu
rong     | 茸  | Soft                           → [无建议, 可用首字母: ABEHIJKNOPQRUVWXYZ]
rong     | 熔  | Melt                           → Hot, Blast
rong     | 冗  | Tedious                        → Redundancy, Information
rong     | 嵘  | Towering                       → Zhongrong, Rugged
rong     | 蝾  | Salamander                     → [无建议, 可用首字母: ABEHIJKNOPQRUVWXYZ]
rou      | 肉  | Meat                           → Beef, Chicken, Wine
rou      | 蹂  | Trample                        → [无建议, 可用首字母: ABCDEFGHIJKLNOPQUVWXYZ]
rou      | 糅  | Mix                            → [无建议, 可用首字母: ABCDEFGHIJKLNOPQUVWXYZ]
rou      | 鞣  | Tan                            → Leather
ru       | 入  | Enter                          → Resident, Legitimate, Percentage
ru       | 乳  | Milk                           → Fermented, Lactobacilli, Lactose
ru       | 儒  | Scholar                        → Fangxiaoru, Pengdaoru, Zhu
ru       | 茹  | Eat                            → Wenlianru, Liangjingru, Xuruyun
ru       | 蠕  | Creep                          → Worm, Wriggling
ru       | 孺  | Child                          → Wangrutong, Niusengru, Housewives
ru       | 褥  | Mattress                       → Bedding
ru       | 濡  | Soak                           → Give, Xiangru
ru       | 缛  | Elaborate                      → [无建议, 可用首字母: BDFGHJKLNOPQRTUVWXZ]
rui      | 瑞  | Lucky                          → Zhurui, Ruian, Chenruiqiu
rui      | 蕊  | Stamen                         → Fangruijie, Flower, Yanrui
rui      | 芮  | Small                          → Ruinaiwei, Ruicheng
rui      | 蕤  | Luxuriant                      → [无建议, 可用首字母: ABCDEFGHIJMNOPQRTUVXYZ]
sa       | 撒  | Spread                         → Urinating, Jerusalem, Cast
sa       | 洒  | Sprinkle                       → Exert, Abundant, One’s
sa       | 萨  | Sakya                          → Zaku, Kaisalin, Pusading
sa       | 挲  | Stroke                         → [无建议, 可用首字母: ABCDEFGHIJKLMNOPQUVWXYZ]
sai      | 腮  | Gill                           → Cheeks, Full
sai      | 鳃  | Gill                           → Fish
sao      | 扫  | Sweep                          → Visit, Glance, Great
sao      | 臊  | Shy                            → Foul
se       | 色  | Color                          → Green, Ferrous, Earth
se       | 铯  | Cesium                         → [无建议, 可用首字母: ADEFGIJKLMNOPQRTUVWXY]
sha      | 傻  | Silly                          → Really, Foolish, Fool
sha      | 杀  | Kill                           → Eliminate, Poisoning, Eliminate
sha      | 莎  | Sedge                          → Jiatengluosha, Qiao, Luoshalin
sha      | 煞  | Kill                           → Tail, Taishaliangshizongtiangong, Pale
sha      | 厦  | Mansion                        → Jinshandasha, Xiamen, Jiaotongdasha
sha      | 霎  | Moment                         → [无建议, 可用首字母: ABDEFHJLNOPQRTUVXZ]
sha      | 砂  | Sand                           → Huangsha, Archival, Zisha
sha      | 鲨  | Shark                          → [无建议, 可用首字母: ABDEFHJLNOPQRTUVXZ]
sha      | 裟  | Cassock                        → [无建议, 可用首字母: ABDEFHJLNOPQRTUVXZ]
sha      | 杉  | Cedar                          → Los, Qianweishan, Luoshanji
shan     | 删  | Erase                          → Delete, Delete
shan     | 闪  | Flash                          → Brilliant, Bright, Dodge
shan     | 扇  | Fan                            → Punka, Blade, Iron
shan     | 衫  | Shirt                          → Blue, Jacket, Button-down
shan     | 姗  | Slow                           → Xueshanshan, Yangzishan, Yuanshanshan
shan     | 讪  | Mock                           → [无建议, 可用首字母: BDIJLOPQTUVWXY]
shan     | 杉  | Cedar                          → Los, Qianweishan, Luoshanji
shan     | 煽  | Fan                            → Incite
shan     | 膳  | Meal                           → Diet, Imitation, Imperial
shan     | 跚  | Stagger                        → [无建议, 可用首字母: BDIJLOPQTUVWXY]
shan     | 汕  | Sandbank                       → Dashan
shan     | 赡  | Support                        → Old-age, Person
shan     | 鳝  | Eel                            → Lishan
shan     | 嬗  | Change                         → Transmutation
shan     | 剡  | Shan River                     → Tianshan
shan     | 单  | Single                         → Parallel, Lonely, Word
shang    | 尚  | Still                          → Yuanshang, Mountain, Ministry
shang    | 汤  | Soup                           → Xiaotangshan, Jintang, Fish
shao     | 烧  | Burn                           → Red-cooked, Develop, Mizhichashao
shao     | 稍  | Slightly                       → Later, Rest, Xishaomen
shao     | 邵  | Surname Shao                   → Xinshao, Zhangshaogang
shao     | 勺  | Spoon                          → [无建议, 可用首字母: ADEGHIJKLMNQRUVXYZ]
shao     | 梢  | Twig                           → Yashaogong
shao     | 韶  | Beautiful                      → Luozhenshao, Qinjiushao, Qin
shao     | 捎  | Take                           → [无建议, 可用首字母: ADEGHIJKLMNQRUVXYZ]
shao     | 艄  | Boatman                        → Music
she      | 射  | Shoot                          → Radiate, Diffraction, Reflectance
she      | 设  | Set                            → Residential, Computer, Optical
she      | 蛇  | Snake                          → Golden, Red-tanned, Gild
she      | 舌  | Tongue                         → Rap, Root, Under
she      | 摄  | Take                           → Regent, Celsius, Celsius
she      | 社  | Society                        → Club, Cooperative, News
she      | 奢  | Luxurious                      → Zhaoshe, Extravagant, Zhao
she      | 畲  | She (ethnic)                   → Xujishe
she      | 猞  | Lynx                           → [无建议, 可用首字母: ABCDEGJKNOQRUVXYZ]
shen     | 沈  | Surname                        → Xiaoshenyang, Lishan, Liaoshenzhanyijinianguan
shen     | 申  | Apply                          → Fanglishen, Fafuershenbi, Zhangshen
shen     | 呻  | Moan                           → [无建议, 可用首字母: FHIJLNQTUXYZ]
shen     | 渗  | Seep                           → Leakage
shen     | 婶  | Aunt                           → [无建议, 可用首字母: FHIJLNQTUXYZ]
shen     | 参  | Participate                    → Technical, Function, Towering
shen     | 莘  | Many                           → Numerous, Zhangxin
shen     | 蜃  | Mirage                         → [无建议, 可用首字母: FHIJLNQTUXYZ]
shen     | 娠  | Pregnant                       → [无建议, 可用首字母: FHIJLNQTUXYZ]
shen     | 椹  | Mulberry                       → [无建议, 可用首字母: FHIJLNQTUXYZ]
shen     | 砷  | Arsenic                        → [无建议, 可用首字母: FHIJLNQTUXYZ]
sheng    | 生  | Live                           → Doubts, Bathroom, Doujinsheng
sheng    | 声  | Sound                          → Cries, Poems, Tone
sheng    | 升  | Rise                           → Per, Temperature, Zhusheng
sheng    | 剩  | Leftover                       → Overproduction
sheng    | 绳  | Rope                           → Knotting, Okinawa, Cordless
sheng    | 乘  | Ride                           → Take, Gongcheng, Take
sheng    | 嵊  | Sheng Mountain                 → [无建议, 可用首字母: BCDGIJKOPQTUVXYZ]
shi      | 是  | Yes                            → Indeed, It's, It’s
shi      | 时  | Time                           → Xushidong, How, Immediately
shi      | 事  | Matter                         → Naive, Idle, Great
shi      | 实  | Real                           → Honest, Zhushifu, Implement
shi      | 十  | Ten                            → Hands, Nineteen, Huanghuagangqishierlieshimu
shi      | 师  | Master                         → Instrument, Zushita, Normal
shi      | 屎  | Feces                          → [无建议, 可用首字母: GHIJNQXZ]
shi      | 世  | World                          → Qiaoshining, Zhoushizong, Naive
shi      | 始  | Start                          → Qinshihuang, Gengshidi, Gengshidiliuxuan
shi      | 失  | Lose                           → Huge, Haimishihou, Neglecting
shi      | 士  | Scholar                        → Huangshiheng, Junshitanding, Jazz
shi      | 湿  | Wet                            → Humid, Hygroscopy, Humidity
shi      | 石  | Stone                          → Huxiaoshi, Zhoukoudianyuhuashichandi, Ximuchengshipeng
shi      | 识  | Know                           → Geographical, Identifier, Intellectuals
shi      | 视  | See                            → Night, Glance, Neglectable
shi      | 势  | Power                          → Grand, International, International
shi      | 市  | City                           → Xin州市, Hangzhoushi, Guiyang
shi      | 室  | Room                           → Han, Indoor, Xiaoshizhezai
shi      | 式  | Form                           → Inquiry-based, Handover, Hairstyle
shi      | 示  | Show                           → Indicator, Intentionality, Indicative
shi      | 试  | Try                            → Internal, Nuclear, Imperial
shi      | 史  | Record                         → Haiwaijiaotongshibowuguan, Historical, Historical
shi      | 食  | Food                           → Noodles, Hot, Huangchengshifu
shi      | 施  | Apply                          → Give, Implement, Jiwushi
shi      | 适  | Suitable                       → Network, Heshi, Hu
shi      | 释  | Explain                        → Interpretation, Interpretive, Interpreter
shi      | 诗  | Poem                           → Narrative, Xuannishi, Zhangshi
shi      | 尸  | Body                           → Zombie, Grave
shi      | 氏  | Surname                        → Xu, Great, Zhoushi
shi      | 侍  | Serve                          → Xiaoshi, Guard, Imperial
shi      | 拾  | Formal ten                     → Irremediable, Harvest, Honest
shi      | 饰  | Adorn                          → Jewelry, Headwear, Home
shi      | 驶  | Sail                           → Heading, High-Speed
shi      | 逝  | Die                            → Gone
shi      | 狮  | Lion                           → Jinshicun, Zhongcunshitong, Jiandashi
shi      | 匙  | Key                            → Golden
shi      | 噬  | Bite                           → [无建议, 可用首字母: GHIJNQXZ]
shi      | 矢  | Dart                           → Zhongdaidashi
shi      | 拭  | Wipe                           → [无建议, 可用首字母: GHIJNQXZ]
shi      | 嗜  | Crave                          → Hobby
shi      | 似  | Like                           → How, Jiasidao
shi      | 蚀  | Erode                          → Glacial
shi      | 恃  | Rely on                        → [无建议, 可用首字母: GHIJNQXZ]
shi      | 柿  | Persimmon                      → [无建议, 可用首字母: GHIJNQXZ]
shi      | 轼  | Shaft                          → Zhushi
shi      | 谥  | Posthumous title               → [无建议, 可用首字母: GHIJNQXZ]
shi      | 什  | What                           → New, Zhashilunbusi, Jiefulilashi
shi      | 豕  | Pig                            → [无建议, 可用首字母: GHIJNQXZ]
shi      | 豉  | Fermented soybean              → [无建议, 可用首字母: GHIJNQXZ]
shi      | 筮  | Divine                         → [无建议, 可用首字母: GHIJNQXZ]
shi      | 蓍  | Yarrow                         → [无建议, 可用首字母: GHIJNQXZ]
shi      | 鲥  | Shad                           → [无建议, 可用首字母: GHIJNQXZ]
shou     | 手  | Hand                           → Skills, Join, Push
shou     | 收  | Receive                        → Legitimate, Collect, Effect
shou     | 首  | Head                           → Forecastle, First, Lowering
shou     | 兽  | Beast                          → Divine, Shouyizhan, Colosseum
shou     | 授  | Teach                          → Professor, Confer, Conferring
shou     | 瘦  | Thin                           → Lean, Shoushangren, Gaunt
shou     | 寿  | Birthday                       → Chen, Zhoushouyuan, Wangshounian
shou     | 狩  | Hunt                           → [无建议, 可用首字母: CDEFGIJLNOPQSUVWXYZ]
shou     | 绶  | Ribbon                         → Xiongshouchun, Chen, Yibingshou
shu      | 书  | Book                           → Zhangyushu, Earth, Original
shu      | 数  | Number                         → Function, Algebraic, Electronic
shu      | 术  | Skill                          → Operation, Art, Operating
shu      | 树  | Tree                           → Alfalfa, Eucalyptus, Zhangjiangshu
shu      | 属  | Belong                         → Ownership, Metallic, Ferrous
shu      | 熟  | Cooked                         → Fermented, Experienced, Idiom
shu      | 叔  | Uncle                          → Fangshuhong, Jintangshujiyu, Qinshubao
shu      | 束  | Bunch                          → Electron, End, Mental
shu      | 舒  | Comfortable                    → Feeling, Jiangshu, Yangtongshu
shu      | 述  | State                          → Assyria, Zhoushu, Explain
shu      | 殊  | Special                        → Yanshu, Extreme, Yan
shu      | 鼠  | Rat                            → Mother, Eliminate, Kangaroo
shu      | 疏  | Sparse                         → Evacuate, Jiangshuying, Omission
shu      | 淑  | Gentle                         → Qinshuwen, Yangshuhua, Yanshuming
shu      | 竖  | Upright                        → Flute, Young
shu      | 署  | Sign                           → Zhizaoshujiuzhi, Executive, Magistrate
shu      | 梳  | Comb                           → [无建议, 可用首字母: AEFIJKMOQXYZ]
shu      | 蜀  | Sichuan                        → [无建议, 可用首字母: AEFIJKMOQXYZ]
shu      | 恕  | Pardon                         → Excuse, Zhoushu, Zhangshu
shu      | 倏  | Sudden                         → [无建议, 可用首字母: AEFIJKMOQXYZ]
shu      | 暑  | Heat                           → Escape, Intense, Yongshu
shu      | 庶  | Numerous                       → Xu, Yangshukan, Minor
shu      | 漱  | Rinse                          → Xiamushushi
shu      | 赎  | Redeem                         → Atonement
shu      | 枢  | Hub                            → Armature, Xushu, Xianyushu
shu      | 蔬  | Greens                         → Fruit, Fruits
shu      | 薯  | Tuber                          → French, French
shu      | 曙  | Dawn                           → Yushuguang, Zhaoshu
shu      | 抒  | Convey                         → Express, Express, Express
shu      | 戍  | Defend                         → Military
shu      | 塾  | Private school                 → [无建议, 可用首字母: AEFIJKMOQXYZ]
shu      | 纾  | Relieve                        → [无建议, 可用首字母: AEFIJKMOQXYZ]
shu      | 黍  | Broomcorn                      → Millet
shu      | 菽  | Beans                          → [无建议, 可用首字母: AEFIJKMOQXYZ]
shuan    | 栓  | Bolt                           → Thrombus, Cork
shuan    | 闩  | Bolt                           → Latch
shun     | 顺  | Smooth                         → Lvshunbowuguan, Logical, Gentle
shun     | 吮  | Sip                            → [无建议, 可用首字母: ABCDEFGHIJKLNOPQRTUVWXYZ]
shun     | 舜  | Shun (sage)                    → Yushun, Yao, Yushunchonghua
shuo     | 说  | Speak                          → Undeniable, Persuasion, What
shuo     | 烁  | Sparkle                        → Flickering, Weishuo, Flickering
shuo     | 朔  | New moon                       → Dongfangshuo, Wangshuo, Weihuigongjishuo
shuo     | 槊  | Spear                          → [无建议, 可用首字母: ABCDEFGIJKLOPQRTUVWXYZ]
shuo     | 数  | Number                         → Linear, Function, Rosary
si       | 死  | Die                            → Until, Guillotine, Words
si       | 四  | Four                           → Octahedral, Zhangsiwei, Rangsi
si       | 思  | Think                          → Wusikai, Boring, Ideological
si       | 斯  | This                           → Christie, Riggs, Kailiannimosi
si       | 司  | Department                     → Judicial, Great, Xiaochuanyuesi
si       | 丝  | Silk                           → Christie, Vein, Xiaocangyalisi
si       | 私  | Private                        → Confidentiality, Bias, Unselfish
si       | 撕  | Tear                           → Bite
si       | 肆  | Formal four                    → Bold, Recklessly, Wild
si       | 嘶  | Hiss                           → Whimper
si       | 厮  | Servant                        → Zhaochousi, Butchery
si       | 祀  | Sacrifice                      → [无建议, 可用首字母: BCGIJKNOQRUVWXYZ]
si       | 嗣  | Heir                           → Wusijue, Jisijun, Children
si       | 饲  | Feed                           → Green, Raise, Chongshengsi
si       | 巳  | Sixth                          → Year, Year, Chensinaidouzi
si       | 泗  | Tears                          → Yangsihong
si       | 驷  | Four horses                    → Yingsi, Qinhuiwenwangyingsi, Rangsi
si       | 蛳  | Snail                          → Water
si       | 耜  | Plowshare                      → [无建议, 可用首字母: BCGIJKNOQRUVWXYZ]
song     | 送  | Send                           → Transport, Broadcast, Gift
song     | 松  | Pine                           → Guansongfang, Bashusong, Qiansong
song     | 宋  | Dynasty                        → Tang, Emperor, Northern
song     | 耸  | Rise                           → Exaggerate, Towering, Tall
song     | 颂  | Praise                         → Hymn, Hail, Wusongjin
song     | 嵩  | Song Mountain                  → Hansong, Yansong, Mount
song     | 忪  | Drowsy                         → [无建议, 可用首字母: ABEGHJKMNOQTUVWXYZ]
song     | 淞  | Song River                     → Wusongsheng
song     | 凇  | Rime                           → [无建议, 可用首字母: ABEGHJKMNOQTUVWXYZ]
sou      | 搜  | Search                         → Arrest, Plunder
sou      | 艘  | Classifier                     → Five, Three, Two
sou      | 嗽  | Cough                          → [无建议, 可用首字母: ABDEFGHIJKLNPQRTUVWXYZ]
sou      | 嗖  | Swish                          → [无建议, 可用首字母: ABDEFGHIJKLNPQRTUVWXYZ]
sou      | 擞  | Shake                          → Full
su       | 诉  | Sue                            → Appeal, Win, Non-litigious
su       | 苏  | Revive                         → Neisuken, Wusu, Yisu
su       | 宿  | Lodge                          → Accommodation, Heart, Dormitory
su       | 俗  | Custom                         → Vulgar, Vivid, Bad
su       | 肃  | Solemn                         → Wusuwangqianmiu, Xiaoyisu, Wangsu
su       | 酥  | Crisp                          → Yak, Yak
su       | 簌  | Rustle                         → [无建议, 可用首字母: ABDHIJKNOQUVWXYZ]
su       | 稣  | Crisp                          → Jesus, Yesu
su       | 溯  | Trace                          → Wensuge, Undo
su       | 愫  | Sincere                        → Wangsu, Affection
su       | 谡  | Respectful                     → [无建议, 可用首字母: ABDHIJKNOQUVWXYZ]
su       | 僳  | Lisu (ethnic)                  → Nujianglisuzuzizhizhou
su       | 觫  | Tremble                        → [无建议, 可用首字母: ABDHIJKNOQUVWXYZ]
su       | 缩  | Shrink                         → Indent, Zoom, Image
sui      | 虽  | Although                       → Even, Even, Even
sui      | 随  | Follow                         → Collection, Reflecting, Gusui
sui      | 岁  | Age                            → Eight, Eighty, Watch
sui      | 遂  | Succeed                        → Chusuiliang|zhusuiliang, Hansui, Wenrusui
sui      | 隋  | Sui dynasty                    → Emperor, Emperor
sui      | 祟  | Disaster                       → [无建议, 可用首字母: CEGHIJKLNOPQRUVWXYZ]
